Timestamp	Rule	Class	ID	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
21.000000	1	class2	-714718518	------	5.000000	0.589333	0.600519	0.686692	0.319600	0.213050	0.570847	1.943622	1.000000	0.348286	0.201038	0.219467	0.786950	0.414088	0.050079	0.600519	
------	------	------	------	2.000000	5.000000	0.600667	0.600525	0.661047	0.311200	0.210676	0.570069	1.954428	1.000000	0.339891	0.201049	0.205933	0.789324	0.411725	0.050081	0.600525	
22.000000	0	class1	-1230970487	------	4.000000	0.612667	0.596576	0.608454	0.312267	0.224370	0.569071	1.860861	1.000000	0.329099	0.193151	0.190000	0.775630	0.417521	0.047898	0.596576	
22.000000	1	class2	852697558	------	4.000000	0.576267	0.592821	0.686960	0.324133	0.222971	0.563475	1.832582	1.000000	0.344472	0.185642	0.222667	0.777029	0.408613	0.046036	0.592821	
------	------	------	------	2.000000	4.000000	0.594467	0.594698	0.647707	0.318200	0.223670	0.566273	1.846721	1.000000	0.336786	0.189396	0.206333	0.776330	0.413067	0.046967	0.594698	
23.000000	0	class1	-1230970487	------	4.000000	0.614800	0.600082	0.627051	0.300667	0.208271	0.568656	1.961068	1.000000	0.328608	0.200163	0.188533	0.791729	0.408434	0.049746	0.600082	
23.000000	1	class2	-606894186	------	5.000000	0.590000	0.603379	0.692369	0.333733	0.222415	0.577684	1.929606	1.000000	0.360441	0.206758	0.231067	0.777585	0.429173	0.051385	0.603379	
------	------	------	------	2.000000	4.500000	0.602400	0.601730	0.659710	0.317200	0.215343	0.573170	1.945337	1.000000	0.344524	0.203461	0.209800	0.784657	0.418804	0.050565	0.601730	
24.000000	0	class1	-1230970487	------	4.000000	0.615333	0.600053	0.616304	0.312400	0.220885	0.572714	1.905934	1.000000	0.333564	0.200107	0.192533	0.779115	0.420991	0.049662	0.600053	
24.000000	1	class2	-1619586718	------	5.000000	0.589467	0.605286	0.704162	0.323600	0.209329	0.576198	2.005937	1.000000	0.356934	0.210572	0.227867	0.790671	0.419902	0.052260	0.605286	
------	------	------	------	2.000000	4.500000	0.602400	0.602670	0.660233	0.318000	0.215107	0.574456	1.955935	1.000000	0.345249	0.205340	0.210200	0.784893	0.420446	0.050961	0.602670	
25.000000	0	class1	1151413025	------	4.000000	0.614533	0.602110	0.627284	0.313733	0.218703	0.574829	1.933774	1.000000	0.337989	0.204219	0.196800	0.781297	0.422923	0.050809	0.602110	
25.000000	1	class2	-1619586718	------	5.000000	0.597600	0.610370	0.704452	0.323467	0.205444	0.581917	2.074455	1.000000	0.361540	0.220740	0.227867	0.794556	0.426185	0.054920	0.610370	
------	------	------	------	2.000000	4.500000	0.606067	0.606240	0.665868	0.318600	0.212074	0.578373	2.004114	1.000000	0.349765	0.212480	0.212333	0.787926	0.424554	0.052865	0.606240	
