Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
12.000000	1	class2	------	2.000000	0.471600	0.507246	0.594118	0.068000	0.060157	0.264874	1.240903	1.000000	0.071027	0.014492	0.040400	0.939843	0.074649	0.003598	0.507246	
12.000000	2	class2	------	3.000000	0.461600	0.500065	0.542169	0.033200	0.033130	0.179325	1.003909	1.000000	0.032351	0.000130	0.018000	0.966870	0.033259	0.000032	0.500065	
12.000000	3	class2	------	1.000000	0.472000	0.501509	0.546479	0.142000	0.140366	0.351082	1.021507	1.000000	0.128137	0.003019	0.077600	0.859634	0.143385	0.000750	0.501509	
12.000000	4	class2	------	3.000000	0.457200	0.498256	0.000000	0.001600	0.003487	0.000000	0.000000	0.000000	0.000000	-0.003487	0.000000	0.996513	0.000000	-0.000866	0.498256	
12.000000	5	class2	------	3.000000	0.468000	0.507371	0.701754	0.022800	0.014821	0.170663	1.994696	1.000000	0.029197	0.014743	0.016000	0.985179	0.029564	0.003661	0.507371	
12.000000	6	class2	------	3.000000	0.456400	0.477274	0.495098	0.244800	0.269398	0.404495	0.831285	0.000000	0.182310	-0.045452	0.121200	0.730602	0.223947	-0.011286	0.477274	
12.000000	7	class2	------	1.000000	0.488400	0.517723	0.601648	0.145600	0.126417	0.376032	1.280388	1.000000	0.146195	0.035446	0.087600	0.873583	0.161863	0.008801	0.517723	
12.000000	8	class2	------	1.000000	0.521200	0.520349	0.560937	0.512000	0.489974	0.520247	1.083063	1.000000	0.374935	0.040699	0.287200	0.510026	0.530673	0.010106	0.520349	
12.000000	9	class2	------	3.000000	0.454400	0.474829	0.491200	0.250000	0.277245	0.404963	0.818421	0.000000	0.183722	-0.050342	0.122800	0.722755	0.226903	-0.012500	0.474829	
------	------	------	10.000000	2.100000	0.484120	0.506627	0.520190	0.156600	0.150443	0.311180	1.165287	0.700000	0.134030	0.013254	0.086840	0.849557	0.163697	0.003291	0.506627	
13.000000	0	class1	------	11.000000	0.552400	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
13.000000	1	class2	------	2.000000	0.463600	0.514313	0.954545	0.017600	0.001787	0.174237	17.015930	1.000000	0.030369	0.028625	0.016800	0.998213	0.030413	0.007078	0.514313	
------	------	------	2.000000	6.500000	0.508000	0.507156	0.477273	0.008800	0.000894	0.087118	8.507965	0.500000	0.015184	0.014313	0.008400	0.999106	0.015206	0.003539	0.507156	
14.000000	0	class1	------	2.000000	0.574400	0.522119	0.900000	0.024000	0.004323	0.219889	11.233813	1.000000	0.048301	0.044238	0.021600	0.995677	0.048561	0.010925	0.522119	
14.000000	1	class2	------	3.000000	0.446000	0.500097	0.560000	0.010000	0.009892	0.099933	1.019649	1.000000	0.010007	0.000194	0.005600	0.990108	0.010086	0.000048	0.500097	
------	------	------	2.000000	2.500000	0.510200	0.511108	0.730000	0.017000	0.007107	0.159911	6.126731	1.000000	0.029154	0.022216	0.013600	0.992893	0.029324	0.005486	0.511108	
15.000000	0	class1	------	3.000000	0.550400	0.507660	0.869565	0.009200	0.002208	0.132249	7.940403	1.000000	0.017483	0.015321	0.008000	0.997792	0.017528	0.003801	0.507660	
15.000000	1	class1	------	1.000000	0.513600	0.513036	0.469537	0.492400	0.480500	0.512996	1.054262	1.000000	0.322185	0.026073	0.231200	0.519500	0.506573	0.006469	0.513036	
15.000000	2	class1	------	3.000000	0.546400	0.504684	0.566038	0.021200	0.016924	0.160772	1.553557	1.000000	0.025773	0.009369	0.012000	0.983076	0.026293	0.002324	0.504684	
15.000000	3	class1	------	3.000000	0.550800	0.513722	0.548913	0.073600	0.061074	0.288293	1.449363	1.000000	0.082516	0.027445	0.040400	0.938926	0.088519	0.006809	0.513722	
15.000000	4	class1	------	1.000000	0.528800	0.496650	0.443769	0.131600	0.134658	0.332757	0.950245	0.000000	0.110272	-0.006700	0.058400	0.865342	0.127958	-0.001662	0.496650	
15.000000	5	class1	------	3.000000	0.545600	0.502894	0.600000	0.010000	0.007358	0.114235	1.786591	1.000000	0.013032	0.005788	0.006000	0.992642	0.013146	0.001436	0.502894	
15.000000	6	class1	------	2.000000	0.530400	0.499176	0.453521	0.142000	0.142752	0.347795	0.988457	0.000000	0.120599	-0.001648	0.064400	0.857248	0.141104	-0.000409	0.499176	
15.000000	7	class1	------	2.000000	0.540800	0.519356	0.494453	0.252400	0.234731	0.457448	1.164924	1.000000	0.213699	0.038713	0.124800	0.765269	0.273444	0.009605	0.519356	
15.000000	8	class1	------	2.000000	0.552800	0.516265	0.557789	0.079600	0.064753	0.301635	1.502360	1.000000	0.090317	0.032530	0.044400	0.935247	0.097283	0.008071	0.516265	
15.000000	9	class1	------	3.000000	0.559200	0.518848	0.719101	0.035600	0.018396	0.234647	3.049115	1.000000	0.054889	0.037695	0.025600	0.981604	0.056091	0.009352	0.518848	
15.000000	10	class2	------	8.000000	0.458400	0.501629	0.727273	0.004400	0.002629	0.076624	2.238901	1.000000	0.005874	0.003257	0.003200	0.997371	0.005887	0.000808	0.501629	
------	------	------	11.000000	2.818182	0.534291	0.508538	0.586360	0.113818	0.105999	0.269041	2.152562	0.818182	0.096058	0.017077	0.056218	0.894001	0.123075	0.004237	0.508538	
16.000000	0	class1	------	3.000000	0.552000	0.515040	0.886364	0.017600	0.003715	0.183494	9.097747	1.000000	0.033650	0.030081	0.015600	0.996285	0.033795	0.007476	0.515040	
16.000000	1	class2	------	2.000000	0.504800	0.533073	0.660714	0.134400	0.098787	0.385538	1.669586	1.000000	0.152055	0.066146	0.088800	0.901213	0.164933	0.016439	0.533073	
16.000000	2	class2	------	3.000000	0.475200	0.508736	0.606250	0.064000	0.054593	0.261019	1.320055	1.000000	0.068843	0.017473	0.038800	0.945407	0.072065	0.004342	0.508736	
16.000000	3	class2	------	2.000000	0.465600	0.498770	0.529412	0.068000	0.069324	0.249458	0.964525	0.000000	0.063114	-0.002459	0.036000	0.930676	0.066865	-0.000611	0.498770	
16.000000	4	class2	------	3.000000	0.492800	0.510990	0.559091	0.264000	0.252166	0.452786	1.087162	1.000000	0.225412	0.021979	0.147600	0.747834	0.274146	0.005462	0.510990	
16.000000	5	class2	------	3.000000	0.466400	0.502974	0.600000	0.024000	0.020797	0.161832	1.286033	1.000000	0.026277	0.005949	0.014400	0.979203	0.026746	0.001478	0.502974	
16.000000	6	class2	------	2.000000	0.479600	0.512019	0.614213	0.078800	0.065858	0.289785	1.365000	1.000000	0.085091	0.024038	0.048400	0.934142	0.089896	0.005974	0.512019	
16.000000	7	class2	------	9.000000	0.465600	0.503529	0.812500	0.006400	0.002600	0.098149	3.715206	1.000000	0.009637	0.007059	0.005200	0.997400	0.009658	0.001754	0.503529	
------	------	------	8.000000	3.375000	0.487750	0.510642	0.658568	0.082150	0.070980	0.260258	2.563164	0.875000	0.083010	0.021283	0.049350	0.929020	0.092263	0.005289	0.510642	
17.000000	0	class1	------	4.000000	0.547600	0.501487	0.555556	0.007200	0.005852	0.093672	1.508164	1.000000	0.008764	0.002974	0.004000	0.994148	0.008826	0.000737	0.501487	
17.000000	1	class2	------	1.000000	0.504800	0.538572	0.680672	0.142800	0.100618	0.399844	1.766700	1.000000	0.164078	0.077144	0.097200	0.899382	0.177762	0.019117	0.538572	
------	------	------	2.000000	2.500000	0.526200	0.520029	0.618114	0.075000	0.053235	0.246758	1.637432	1.000000	0.086421	0.040059	0.050600	0.946765	0.093294	0.009927	0.520029	
18.000000	0	class1	------	11.000000	0.530400	0.499772	0.428571	0.002800	0.003014	0.050496	0.848465	0.000000	0.002549	-0.000457	0.001200	0.996986	0.002558	-0.000114	0.499772	
18.000000	1	class2	------	3.000000	0.466800	0.497096	0.350000	0.008000	0.011083	0.072226	0.475972	0.000000	0.005224	-0.005808	0.002800	0.988917	0.005275	-0.001446	0.497096	
18.000000	2	class2	------	2.000000	0.479200	0.508579	0.711864	0.023600	0.014493	0.176612	2.183873	1.000000	0.031250	0.017158	0.016800	0.985507	0.031650	0.004273	0.508579	
------	------	------	3.000000	5.333333	0.492133	0.501816	0.496812	0.011467	0.009530	0.099778	1.169437	0.333333	0.013008	0.003631	0.006933	0.990470	0.013161	0.000904	0.501816	
19.000000	0	class1	------	3.000000	0.528000	0.498965	0.416667	0.009600	0.010574	0.091725	0.804179	0.000000	0.008403	-0.002071	0.004000	0.989426	0.008503	-0.000516	0.498965	
19.000000	1	class1	------	3.000000	0.527200	0.498067	0.350000	0.008000	0.009819	0.076772	0.606227	0.000000	0.005887	-0.003866	0.002800	0.990181	0.005952	-0.000963	0.498067	
19.000000	2	class1	------	3.000000	0.526000	0.498930	0.457944	0.042800	0.043807	0.199603	0.951149	0.000000	0.039708	-0.002140	0.019600	0.956193	0.041667	-0.000533	0.498930	
19.000000	3	class2	------	2.000000	0.512800	0.512322	0.541667	0.508800	0.495748	0.512259	1.049712	1.000000	0.361300	0.024644	0.275600	0.504252	0.520393	0.006140	0.512322	
19.000000	4	class2	------	4.000000	0.471200	0.500755	1.000000	0.000800	0.000000	0.038866	INFINITY	1.000000	0.001511	0.001511	0.000800	1.000000	0.001511	0.000376	0.500755	
19.000000	5	class2	------	2.000000	0.510000	0.536246	0.836735	0.058800	0.020408	0.301669	4.552115	1.000000	0.091246	0.072492	0.049200	0.979592	0.092900	0.018060	0.536246	
19.000000	6	class2	------	2.000000	0.471600	0.500420	0.545455	0.013200	0.012755	0.115852	1.065861	1.000000	0.013443	0.000840	0.007200	0.987245	0.013595	0.000209	0.500420	
19.000000	7	class2	------	3.000000	0.482800	0.510519	0.691358	0.032400	0.021259	0.203462	1.989607	1.000000	0.041512	0.021038	0.022400	0.978741	0.042296	0.005241	0.510519	
19.000000	8	class2	------	1.000000	0.493200	0.514919	0.585075	0.134000	0.118197	0.361301	1.252451	1.000000	0.133971	0.029839	0.078400	0.881803	0.148036	0.007434	0.514919	
19.000000	9	class2	------	3.000000	0.496800	0.517178	0.584184	0.156800	0.138605	0.385989	1.247864	1.000000	0.154001	0.034355	0.091600	0.861395	0.172961	0.008559	0.517178	
19.000000	10	class2	------	1.000000	0.492000	0.513264	0.576271	0.141600	0.127551	0.366641	1.207976	1.000000	0.138399	0.026528	0.081600	0.872449	0.154079	0.006609	0.513264	
------	------	------	11.000000	2.454545	0.501055	0.509235	0.598669	0.100618	0.090793	0.241285	INFINITY	0.727273	0.089944	0.018470	0.057564	0.909207	0.109263	0.004601	0.509235	
20.000000	0	class1	------	3.000000	0.537600	0.504330	0.521277	0.037600	0.033582	0.202047	1.257854	1.000000	0.040664	0.008659	0.019600	0.966418	0.042241	0.002154	0.504330	
20.000000	1	class1	------	2.000000	0.555200	0.520748	0.980000	0.020000	0.000746	0.205450	56.603448	1.000000	0.042205	0.041495	0.019600	0.999254	0.042241	0.010320	0.520748	
20.000000	2	class1	------	3.000000	0.574000	0.543496	0.759563	0.073200	0.032836	0.340431	3.649295	1.000000	0.115449	0.086992	0.055600	0.967164	0.119828	0.021635	0.543496	
20.000000	3	class2	------	3.000000	0.463200	0.498212	0.470588	0.013600	0.015517	0.108421	0.769486	0.000000	0.011782	-0.003577	0.006400	0.984483	0.011940	-0.000890	0.498212	
20.000000	4	class2	------	2.000000	0.459600	0.493927	0.403509	0.022800	0.029310	0.129078	0.585601	0.000000	0.016739	-0.012146	0.009200	0.970690	0.017164	-0.003021	0.493927	
------	------	------	5.000000	2.600000	0.517920	0.512142	0.626987	0.033440	0.022398	0.197085	12.573137	0.600000	0.045368	0.024285	0.022080	0.977602	0.046683	0.006040	0.512142	
21.000000	0	class1	------	3.000000	0.548400	0.508472	0.880000	0.010000	0.002219	0.138280	8.636469	1.000000	0.019114	0.016945	0.008800	0.997781	0.019164	0.004208	0.508472	
21.000000	1	class2	------	2.000000	0.472400	0.511284	0.770492	0.024400	0.012195	0.185309	2.850592	1.000000	0.034407	0.022568	0.018800	0.987805	0.034763	0.005604	0.511284	
------	------	------	2.000000	2.500000	0.510400	0.509878	0.825246	0.017200	0.007207	0.161794	5.743530	1.000000	0.026760	0.019757	0.013800	0.992793	0.026964	0.004906	0.509878	
22.000000	0	class1	------	1.000000	0.519200	0.518215	0.474548	0.487200	0.470588	0.518094	1.077412	1.000000	0.324719	0.036429	0.231200	0.529412	0.507018	0.009037	0.518215	
22.000000	1	class1	------	3.000000	0.543200	0.500258	0.466667	0.012000	0.011765	0.110165	1.043860	1.000000	0.012111	0.000516	0.005600	0.988235	0.012281	0.000128	0.500258	
22.000000	2	class1	------	1.000000	0.592800	0.562590	0.661376	0.151200	0.094118	0.445711	2.330044	1.000000	0.197161	0.125181	0.100000	0.905882	0.219298	0.031053	0.562590	
22.000000	3	class1	------	2.000000	0.515600	0.494472	0.445469	0.260400	0.265441	0.432275	0.958352	0.000000	0.193205	-0.011055	0.116000	0.734559	0.254386	-0.002742	0.494472	
22.000000	4	class2	------	4.000000	0.460000	0.503038	0.678571	0.011200	0.007895	0.117730	1.769608	1.000000	0.013879	0.006076	0.007600	0.992105	0.013971	0.001507	0.503038	
------	------	------	5.000000	2.200000	0.526160	0.515715	0.545326	0.184400	0.169961	0.324795	1.435855	0.800000	0.148215	0.031429	0.092080	0.830039	0.201391	0.007796	0.515715	
23.000000	0	class1	------	4.000000	0.532400	0.499463	0.400000	0.004000	0.004501	0.058414	0.761497	0.000000	0.003410	-0.001074	0.001600	0.995499	0.003428	-0.000267	0.499463	
23.000000	1	class2	------	4.000000	0.467200	0.500322	0.666667	0.001200	0.000857	0.038718	1.750938	1.000000	0.001499	0.000643	0.000800	0.999143	0.001500	0.000160	0.500322	
------	------	------	2.000000	4.000000	0.499800	0.499892	0.533333	0.002600	0.002679	0.048566	1.256217	0.500000	0.002455	-0.000215	0.001200	0.997321	0.002464	-0.000054	0.499892	
24.000000	0	class1	------	3.000000	0.530800	0.513249	0.485337	0.272800	0.260579	0.460729	1.101689	1.000000	0.220080	0.026498	0.132400	0.739421	0.287077	0.006585	0.513249	
24.000000	1	class1	------	1.000000	0.510000	0.508749	0.470199	0.483200	0.475130	0.508494	1.036828	1.000000	0.316788	0.017498	0.227200	0.524870	0.492628	0.004348	0.508749	
24.000000	2	class1	------	2.000000	0.552400	0.514932	0.925000	0.016000	0.002227	0.178938	14.408500	1.000000	0.032007	0.029863	0.014800	0.997773	0.032090	0.007421	0.514932	
24.000000	3	class1	------	3.000000	0.570400	0.537131	0.730994	0.068400	0.034150	0.323590	3.174611	1.000000	0.104254	0.074263	0.050000	0.965850	0.108413	0.018454	0.537131	
24.000000	4	class1	------	12.000000	0.539600	0.501117	0.600000	0.004000	0.002970	0.072030	1.752385	1.000000	0.005186	0.002234	0.002400	0.997030	0.005204	0.000555	0.501117	
24.000000	5	class1	------	3.000000	0.532800	0.513294	0.487884	0.247600	0.235338	0.447532	1.112976	1.000000	0.205442	0.026588	0.120800	0.764662	0.261925	0.006607	0.513294	
24.000000	6	class1	------	1.000000	0.525200	0.497372	0.451977	0.141600	0.144024	0.344648	0.963511	0.000000	0.118782	-0.005255	0.064000	0.855976	0.138768	-0.001306	0.497372	
24.000000	7	class2	------	9.000000	0.462800	0.501422	0.833333	0.002400	0.000867	0.060899	4.279881	1.000000	0.003709	0.002845	0.002000	0.999133	0.003712	0.000707	0.501422	
24.000000	8	class2	------	3.000000	0.466400	0.504826	1.000000	0.005200	0.000000	0.098240	INFINITY	1.000000	0.009651	0.009651	0.005200	1.000000	0.009651	0.002398	0.504826	
------	------	------	9.000000	4.111111	0.521156	0.510232	0.664969	0.137911	0.128365	0.277233	INFINITY	0.888889	0.112878	0.020465	0.068756	0.871635	0.148830	0.005085	0.510232	
25.000000	0	class1	------	2.000000	0.569200	0.513026	0.750000	0.020800	0.009306	0.187161	3.799637	1.000000	0.034946	0.026052	0.015600	0.990694	0.035358	0.006423	0.513026	
25.000000	1	class2	------	3.000000	0.449200	0.506777	0.857143	0.011200	0.003626	0.130833	4.737294	1.000000	0.017131	0.013553	0.009600	0.996374	0.017180	0.003341	0.506777	
------	------	------	2.000000	2.500000	0.509200	0.509901	0.803571	0.016000	0.006466	0.158997	4.268466	1.000000	0.026038	0.019803	0.012600	0.993534	0.026269	0.004882	0.509901	
26.000000	0	class1	------	3.000000	0.540800	0.499395	0.333333	0.002400	0.002954	0.041714	0.590750	0.000000	0.001739	-0.001209	0.000800	0.997046	0.001745	-0.000300	0.499395	
26.000000	1	class1	------	3.000000	0.563600	0.524399	0.910448	0.026800	0.004431	0.230202	12.011926	1.000000	0.052951	0.048797	0.024400	0.995569	0.053229	0.012115	0.524399	
26.000000	2	class1	------	15.000000	0.540800	0.499328	0.250000	0.001600	0.002216	0.029507	0.393834	0.000000	0.000870	-0.001343	0.000400	0.997784	0.000873	-0.000333	0.499328	
26.000000	3	class2	------	3.000000	0.478800	0.514074	0.632124	0.077200	0.061955	0.290725	1.454345	1.000000	0.085614	0.028149	0.048800	0.938045	0.090103	0.006988	0.514074	
26.000000	4	class2	------	1.000000	0.506000	0.535700	0.663014	0.146000	0.107330	0.399433	1.665238	1.000000	0.163846	0.071400	0.096800	0.892670	0.178730	0.017726	0.535700	
26.000000	5	class2	------	3.000000	0.458800	0.499498	0.518519	0.010800	0.011344	0.101106	0.911487	0.000000	0.010241	-0.001004	0.005600	0.988656	0.010340	-0.000249	0.499498	
26.000000	6	class2	------	3.000000	0.458800	0.500101	0.555556	0.003600	0.003490	0.060662	1.057976	1.000000	0.003682	0.000202	0.002000	0.996510	0.003693	0.000050	0.500101	
26.000000	7	class2	------	3.000000	0.454800	0.493526	0.447059	0.034000	0.041012	0.164055	0.684308	0.000000	0.027123	-0.012947	0.015200	0.958988	0.028065	-0.003214	0.493526	
26.000000	8	class2	------	2.000000	0.462400	0.502285	0.596154	0.020800	0.018325	0.149919	1.249420	1.000000	0.022545	0.004571	0.012400	0.981675	0.022895	0.001135	0.502285	
------	------	------	9.000000	4.000000	0.496089	0.507590	0.545134	0.035911	0.028117	0.163036	2.224365	0.555556	0.040957	0.015179	0.022933	0.971883	0.043297	0.003769	0.507590	
27.000000	0	class1	------	2.000000	0.561200	0.515723	0.826923	0.020800	0.006574	0.194344	5.783181	1.000000	0.037719	0.031445	0.017200	0.993426	0.038019	0.007790	0.515723	
