Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm	ExecTime_ms
52.000000	------	------	2.000000	7.000000	0.500750	0.500848	0.794118	0.002150	0.001303	0.053293	INFINITY	1.000000	0.002992	0.001696	0.001450	0.998697	0.002999	0.000422	0.500848	290.000000
53.000000	------	------	2.000000	11.500000	0.500300	0.500269	0.562500	0.001200	0.000898	0.036316	1.626608	0.500000	0.001435	0.000538	0.000750	0.999102	0.001436	0.000134	0.500269	303.000000
54.000000	------	------	2.000000	2.000000	0.523050	0.529193	0.558377	0.081150	0.055106	0.281832	1.555236	0.500000	0.103330	0.058386	0.052100	0.944894	0.113492	0.014464	0.529193	306.000000
55.000000	------	------	4.000000	5.750000	0.501250	0.501657	0.685294	0.006950	0.005388	0.080091	2.838165	1.000000	0.008571	0.003314	0.004100	0.994612	0.008702	0.000824	0.501657	307.000000
56.000000	------	------	6.000000	2.333333	0.479533	0.501704	0.540015	0.051533	0.049687	0.201260	1.068529	0.500000	0.049275	0.003407	0.028467	0.950313	0.053094	0.000847	0.501704	278.000000
57.000000	------	------	4.000000	2.750000	0.523600	0.505994	0.672451	0.020450	0.014741	0.151603	2.400222	1.000000	0.026217	0.011988	0.013175	0.985259	0.026728	0.002982	0.505994	304.000000
58.000000	------	------	2.000000	3.000000	0.506100	0.506543	0.693085	0.014800	0.008565	0.141849	2.374258	1.000000	0.021427	0.013086	0.010450	0.991435	0.021651	0.003255	0.506543	314.000000
59.000000	------	------	11.000000	3.090909	0.524027	0.503571	0.508813	0.113118	0.109700	0.254404	1.224095	0.727273	0.090155	0.007141	0.054582	0.890300	0.116841	0.001777	0.503571	340.000000
60.000000	------	------	2.000000	3.000000	0.508200	0.507344	0.889718	0.010500	0.002525	0.111173	8.205669	1.000000	0.017149	0.014689	0.009350	0.997475	0.017214	0.003638	0.507344	303.000000
61.000000	------	------	3.000000	3.666667	0.487200	0.499845	0.535341	0.005433	0.005696	0.071395	1.293691	0.333333	0.005353	-0.000310	0.002733	0.994304	0.005386	-0.000077	0.499845	336.000000
62.000000	------	------	10.000000	4.700000	0.520460	0.507371	0.515479	0.050140	0.043311	0.169702	1.233708	0.600000	0.049895	0.014742	0.026900	0.956689	0.058053	0.003660	0.507371	336.000000
63.000000	------	------	7.000000	9.428571	0.508957	0.502098	0.473875	0.008529	0.006234	0.072566	1.088474	0.428571	0.010262	0.004196	0.005629	0.993766	0.010430	0.001041	0.502098	302.000000
64.000000	------	------	8.000000	3.875000	0.511988	0.512082	0.600955	0.129213	0.118048	0.227026	1.824873	0.875000	0.102756	0.024164	0.065925	0.881952	0.142213	0.006007	0.512082	303.000000
65.000000	------	------	2.000000	7.500000	0.503300	0.502980	0.747475	0.005100	0.001921	0.072166	3.247506	1.000000	0.007857	0.005961	0.004200	0.998079	0.007881	0.001483	0.502980	300.000000
66.000000	------	------	2.000000	3.000000	0.503050	0.502306	0.623552	0.015950	0.013732	0.131513	1.803173	1.000000	0.018071	0.004611	0.009500	0.986268	0.018343	0.001144	0.502306	296.000000
67.000000	------	------	2.000000	3.000000	0.502800	0.502388	0.601058	0.015400	0.013093	0.131819	1.568047	1.000000	0.017636	0.004777	0.009100	0.986907	0.017869	0.001187	0.502388	299.000000
68.000000	------	------	10.000000	3.600000	0.523780	0.504961	0.482752	0.182520	0.177982	0.300095	1.109965	0.500000	0.134432	0.009922	0.085830	0.822018	0.187904	0.002462	0.504961	338.000000
69.000000	------	------	4.000000	5.000000	0.516800	0.502752	0.639722	0.011750	0.009141	0.109453	1.993717	1.000000	0.014438	0.005504	0.007200	0.990859	0.014645	0.001372	0.502752	303.000000
70.000000	------	------	2.000000	8.500000	0.502950	0.502572	0.584249	0.004850	0.002022	0.069337	2.399141	0.500000	0.007147	0.005145	0.003900	0.997978	0.007167	0.001275	0.502572	307.000000
71.000000	------	------	7.000000	3.571429	0.527514	0.504299	0.501488	0.059071	0.055095	0.202272	1.148592	0.857143	0.056536	0.008598	0.029400	0.944905	0.063693	0.002137	0.504299	297.000000
72.000000	------	------	2.000000	10.500000	0.500450	0.500449	0.744444	0.000950	0.000526	0.037500	5.313387	1.000000	0.001423	0.000898	0.000700	0.999474	0.001424	0.000223	0.500449	281.000000
73.000000	------	------	3.000000	2.666667	0.513033	0.501439	0.647796	0.009833	0.008386	0.100349	INFINITY	0.666667	0.011118	0.002878	0.005333	0.991614	0.011264	0.000716	0.501439	280.000000
